X	Y	DBH	Mortclass
185.884	146.462	30.1841	1	
127.7	173.214	30.1416	1	
3.30607	90.1172	29.9177	2	
76.6315	289.43	29.854	1	
170.442	108.254	29.7769	1	
119.473	29.0728	29.7467	1	
251.937	8.49677	29.694	2	
156.798	238.015	29.6115	2	
70.8843	35.9051	29.4417	1	
265.788	254.689	29.1766	1	
192.472	153.583	29.1294	1	
14.748	209.452	28.9872	2	
261.489	163.525	28.818	1	
24.0191	229.803	28.7836	1	
36.8708	236.022	28.708	1	
257.114	9.2422	28.6192	1	
253.43	223.939	28.6161	2	
241.37	15.6082	28.566	2	
180.258	147.419	28.5205	2	
33.3343	289.277	28.5096	1	
155.047	276.08	28.4607	1	
161.275	236.653	28.4288	2	
59.5553	269.494	28.2621	1	
142.94	255.565	27.9642	2	
267.632	9.80545	27.8588	1	
252.695	155.843	27.1339	1	
47.0911	175.393	26.9364	1	
256.955	192.863	26.9053	1	
180.678	17.201	26.6372	2	
8.45826	279.184	26.3487	2	
281.548	53.2684	26.3239	2	
86.8428	242.773	26.1642	2	
197.37	56.2806	26.1248	2	
120.168	184.919	26.09	1	
130.419	244.703	26.0824	1	
11.3266	261.811	25.9049	2	
29.9631	262.468	25.8395	1	
184.346	161.66	25.7415	1	
67.4913	113.775	25.6533	1	
82.7391	236.551	25.6254	1	
299.525	48.6825	25.6137	1	
143.028	256.671	25.5991	1	
193.044	36.5863	25.4936	1	
23.882	261.537	25.479	2	
129.876	121.859	25.4547	2	
22.0477	261.103	25.3717	2	
53.2236	112.854	25.364	1	
197.4	144.926	25.3052	1	
239.103	276.502	25.3033	1	
64.666	247.517	25.2615	1	
102.663	107.417	25.1768	1	
16.0527	212.871	25.0904	1	
245.479	160.038	24.9078	1	
55.4601	9.09148	24.8833	1	
134.807	247.158	24.7408	1	
30.6153	288.072	24.6095	1	
138.609	172.283	24.5889	2	
67.4231	110.522	24.5825	2	
86.0866	47.5135	24.5782	2	
72.555	38.5725	24.5764	1	
5.44754	47.1458	24.5473	1	
24.2499	256.14	24.5185	1	
144.089	176.596	24.4997	1	
260.275	151.521	24.2576	1	
54.63	116.031	23.8064	1	
119.62	189.112	23.8029	2	
247.932	150.692	23.7611	1	
45.9717	284.532	23.752	1	
117.25	171.292	23.7341	2	
44.8619	242.837	23.7203	1	
222.816	108.157	23.624	1	
137.148	176.707	23.4336	1	
119.815	251.083	23.409	2	
103.958	195.513	23.3733	2	
226.55	260.259	23.2475	2	
258.529	14.0989	23.1275	1	
174.859	257.342	22.9726	1	
29.8879	272.32	22.7537	1	
178.175	246.571	22.7355	1	
50.8278	141.532	22.7317	1	
189.512	157.427	22.6992	1	
167.04	78.2453	22.4117	1	
170.404	234.789	22.3858	1	
167.3	63.0001	22.282	1	
251.237	214.056	22.2798	1	
